序号,经度,纬度
1150,120.694118,36.360409
1151,120.694119,36.360429
1152,120.694119,36.360449
1153,120.694119,36.360469
1154,120.694120,36.360490
1155,120.694120,36.360510
1156,120.694121,36.360530
1157,120.694121,36.360550
1158,120.694121,36.360570
1159,120.694122,36.360591
1160,120.694122,36.360611
1161,120.694123,36.360631
1162,120.694123,36.360651
1163,120.694123,36.360671
1164,120.694124,36.360691
1165,120.694124,36.360711
1166,120.694125,36.360732
1167,120.694125,36.360752
1168,120.694125,36.360772
1169,120.694126,36.360792
1170,120.694126,36.360812
1171,120.694126,36.360833
1172,120.694127,36.360853
1173,120.694127,36.360873
1174,120.694128,36.360893
1175,120.694128,36.360913
1176,120.694128,36.360933
1177,120.694129,36.360953
1178,120.694129,36.360974
1179,120.694130,36.360994
1180,120.694130,36.361014
1181,120.694130,36.361034
1182,120.694131,36.361054
1183,120.694131,36.361075
1184,120.694132,36.361095
1185,120.694132,36.361115
1186,120.694132,36.361135
1187,120.694133,36.361155
1188,120.694133,36.361175
1189,120.694133,36.361195
1190,120.694134,36.361216
1191,120.694134,36.361236
1192,120.694135,36.361256
1193,120.694135,36.361276
1194,120.694135,36.361296
1195,120.694136,36.361317
1196,120.694136,36.361337
1197,120.694137,36.361357
1198,120.694138,36.361397
1199,120.694139,36.361417
1200,120.694140,36.361437
1201,120.694141,36.361457
1202,120.694142,36.361477
1203,120.694142,36.361497
1204,120.694143,36.361517
1205,120.694144,36.361537
1206,120.694145,36.361558
1207,120.694146,36.361578
1208,120.694147,36.361598
1209,120.694148,36.361618
1210,120.694149,36.361638
1211,120.694150,36.361658
1212,120.694151,36.361678
1213,120.694152,36.361698
1214,120.694153,36.361718
1215,120.694153,36.361738
1216,120.694154,36.361758
1217,120.694155,36.361778
1218,120.694156,36.361798
1219,120.694157,36.361818
1220,120.694158,36.361838
1221,120.694159,36.361858
1222,120.694160,36.361878
1223,120.694161,36.361898
1224,120.694162,36.361919
1225,120.694163,36.361939
1226,120.694164,36.361959
1227,120.694164,36.361979
1228,120.694165,36.361999
1229,120.694166,36.362019
1230,120.694167,36.362039
1231,120.694168,36.362059
1232,120.694169,36.362101
1233,120.694169,36.362122
1234,120.694169,36.362144
1235,120.694169,36.362165
1236,120.694169,36.362187
1237,120.694169,36.362208
1238,120.694170,36.362251
1239,120.694172,36.362271
1240,120.694173,36.362292
1241,120.694175,36.362313
1242,120.694176,36.362334
1243,120.694177,36.362354
1244,120.694179,36.362375
1245,120.694181,36.362416
1246,120.694181,36.362436
1247,120.694182,36.362456
1248,120.694183,36.362476
1249,120.694183,36.362496
1250,120.694184,36.362516
1251,120.694185,36.362537
1252,120.694186,36.362557
1253,120.694186,36.362577
1254,120.694187,36.362597
1255,120.694188,36.362617
1256,120.694188,36.362637
1257,120.694189,36.362657
1258,120.694190,36.362677
1259,120.694190,36.362697
1260,120.694191,36.362717
1261,120.694192,36.362737
1262,120.694192,36.362757
1263,120.694193,36.362777
1264,120.694194,36.362798
1265,120.694195,36.362818
1266,120.694195,36.362838
1267,120.694196,36.362858
1268,120.694197,36.362878
1269,120.694197,36.362898
1270,120.694198,36.362918
1271,120.694199,36.362938
1272,120.694199,36.362958
1273,120.694200,36.362978
1274,120.694201,36.362998
1275,120.694201,36.363018
1276,120.694202,36.363038
1277,120.694203,36.363059
1278,120.694204,36.363079
1279,120.694204,36.363099
1280,120.694205,36.363119
1281,120.694206,36.363139
1282,120.694206,36.363159
1283,120.694208,36.363199
1284,120.694209,36.363220
1285,120.694209,36.363240
1286,120.694210,36.363260
1287,120.694211,36.363280
1288,120.694212,36.363301
1289,120.694212,36.363321
1290,120.694213,36.363341
1291,120.694214,36.363362
1292,120.694215,36.363382
1293,120.694216,36.363402
1294,120.694216,36.363422
1295,120.694217,36.363443
1296,120.694218,36.363463
1297,120.694219,36.363483
1298,120.694220,36.363504
1299,120.694220,36.363524
1300,120.694221,36.363544
1301,120.694222,36.363565
1302,120.694223,36.363585
1303,120.694223,36.363605
1304,120.694224,36.363625
1305,120.694225,36.363646
1306,120.694226,36.363666
1307,120.694227,36.363686
1308,120.694227,36.363707
1309,120.694228,36.363727
1310,120.694229,36.363747
1311,120.694230,36.363767
1312,120.694230,36.363788
1313,120.694231,36.363808
1314,120.694232,36.363828
1315,120.694233,36.363849
1316,120.694234,36.363869
1317,120.694234,36.363889
1318,120.694235,36.363909
1319,120.694236,36.363930
1320,120.694237,36.363950
1321,120.694237,36.363970
1322,120.694238,36.363991
1323,120.694239,36.364011
1324,120.694240,36.364031
1325,120.694241,36.364052
1326,120.694241,36.364072
1327,120.694242,36.364092
1328,120.694243,36.364112
1329,120.694244,36.364133
1330,120.694245,36.364153
1331,120.694245,36.364173
1332,120.694246,36.364194
1333,120.694247,36.364214
1334,120.694248,36.364234
1335,120.694248,36.364254
1336,120.694249,36.364275
1337,120.694250,36.364315
1338,120.694250,36.364336
1339,120.694251,36.364356
1340,120.694251,36.364377
1341,120.694251,36.364397
1342,120.694251,36.364418
1343,120.694252,36.364438
1344,120.694252,36.364459
1345,120.694252,36.364479
1346,120.694252,36.364500
1347,120.694253,36.364520
1348,120.694253,36.364540
1349,120.694253,36.364561
1350,120.694253,36.364581
1351,120.694253,36.364602
1352,120.694254,36.364622
1353,120.694254,36.364643
1354,120.694254,36.364663
1355,120.694254,36.364684
1356,120.694255,36.364704
1357,120.694255,36.364725
1358,120.694255,36.364766
1359,120.694256,36.364786
1360,120.694256,36.364807
1361,120.694256,36.364827
1362,120.694257,36.364848
1363,120.694257,36.364868
1364,120.694257,36.364889
1365,120.694258,36.364909
1366,120.694258,36.364930
1367,120.694258,36.364950
1368,120.694258,36.364971
1369,120.694259,36.364992
1370,120.694259,36.365012
1371,120.694259,36.365033
1372,120.694260,36.365053
1373,120.694260,36.365074
1374,120.694260,36.365094
1375,120.694261,36.365115
1376,120.694261,36.365135
1377,120.694261,36.365156
1378,120.694262,36.365176
1379,120.694262,36.365197
1380,120.694262,36.365217
1381,120.694263,36.365238
1382,120.694263,36.365259
1383,120.694263,36.365279
1384,120.694263,36.365300
1385,120.694264,36.365320
1386,120.694264,36.365341
1387,120.694264,36.365361
1388,120.694265,36.365382
1389,120.694265,36.365402
1390,120.694265,36.365423
1391,120.694266,36.365443
1392,120.694265,36.365485
1393,120.694265,36.365505
1394,120.694264,36.365526
1395,120.694264,36.365547
1396,120.694263,36.365567
1397,120.694263,36.365588
1398,120.694262,36.365608
1399,120.694261,36.365629
1400,120.694261,36.365650
1401,120.694260,36.365670
1402,120.694260,36.365691
1403,120.694259,36.365712
1404,120.694258,36.365732
1405,120.694258,36.365753
1406,120.694257,36.365773
1407,120.694257,36.365794
1408,120.694256,36.365815
1409,120.694256,36.365835
1410,120.694250,36.365876
1411,120.694245,36.365895
1412,120.694240,36.365915
1413,120.694235,36.365935
1414,120.694230,36.365955
1415,120.694225,36.365974
1416,120.694220,36.365994
1417,120.694215,36.366014
1418,120.694210,36.366034
1419,120.694204,36.366053
1420,120.694199,36.366073
1421,120.694194,36.366093
1422,120.694189,36.366113
1423,120.694184,36.366132
1424,120.694179,36.366152
1425,120.694174,36.366172
1426,120.694169,36.366192
1427,120.694164,36.366211
1428,120.694239,36.366237
1429,120.694094,36.366645
1430,120.694035,36.366821
1431,120.693890,36.367133
1432,120.693692,36.367471
1433,120.692753,36.368930
1434,120.692158,36.369986
1435,120.691906,36.370426
1436,120.691857,36.370507
1437,120.691729,36.370823
1438,120.691433,36.371585
1439,120.691176,36.372416
1440,120.691106,36.372653
1441,120.690629,36.374235
1442,120.690516,36.374627
1443,120.690436,36.374981
1444,120.690382,36.375303
1445,120.690350,36.375598
1446,120.690350,36.375732
1447,120.690350,36.375925
1448,120.690350,36.376086
1449,120.690409,36.376842
1450,120.690436,36.377202
1451,120.694232,36.366256
1452,120.694225,36.366276
1453,120.694218,36.366295
1454,120.694211,36.366315
1455,120.694204,36.366334
1456,120.694198,36.366354
1457,120.694191,36.366373
1458,120.694184,36.366392
1459,120.694177,36.366412
1460,120.694170,36.366431
1461,120.694163,36.366451
1462,120.694156,36.366470
1463,120.694149,36.366490
1464,120.694142,36.366509
1465,120.694135,36.366528
1466,120.694129,36.366548
1467,120.694122,36.366567
1468,120.694115,36.366587
1469,120.694108,36.366606
1470,120.694101,36.366626
1471,120.694087,36.366665
1472,120.694081,36.366684
1473,120.694074,36.366704
1474,120.694068,36.366723
1475,120.694061,36.366743
1476,120.694055,36.366762
1477,120.694048,36.366782
1478,120.694042,36.366801
1479,120.694026,36.366839
1480,120.694018,36.366858
1481,120.694009,36.366876
1482,120.694001,36.366894
1483,120.693992,36.366913
1484,120.693984,36.366931
1485,120.693975,36.366949
1486,120.693967,36.366968
1487,120.693958,36.366986
1488,120.693950,36.367005
1489,120.693941,36.367023
1490,120.693933,36.367041
1491,120.693924,36.367060
1492,120.693916,36.367078
1493,120.693907,36.367096
1494,120.693899,36.367115
1495,120.693880,36.367151
1496,120.693869,36.367169
1497,120.693859,36.367186
1498,120.693848,36.367204
1499,120.693838,36.367222
1500,120.693827,36.367240
1501,120.693817,36.367258
1502,120.693807,36.367275
1503,120.693796,36.367293
1504,120.693786,36.367311
1505,120.693775,36.367329
1506,120.693765,36.367346
1507,120.693755,36.367364
1508,120.693744,36.367382
1509,120.693734,36.367400
1510,120.693723,36.367418
1511,120.693713,36.367435
1512,120.693702,36.367453
1513,120.693681,36.367488
1514,120.693670,36.367505
1515,120.693659,36.367522
1516,120.693648,36.367539
1517,120.693637,36.367556
1518,120.693626,36.367573
1519,120.693616,36.367590
1520,120.693605,36.367607
1521,120.693594,36.367624
1522,120.693583,36.367641
1523,120.693572,36.367658
1524,120.693561,36.367675
1525,120.693550,36.367692
1526,120.693539,36.367709
1527,120.693528,36.367725
1528,120.693517,36.367742
1529,120.693506,36.367759
1530,120.693495,36.367776
1531,120.693485,36.367793
1532,120.693474,36.367810
1533,120.693463,36.367827
1534,120.693452,36.367844
1535,120.693441,36.367861
1536,120.693430,36.367878
1537,120.693419,36.367895
1538,120.693408,36.367912
1539,120.693397,36.367929
1540,120.693386,36.367946
1541,120.693375,36.367963
1542,120.693364,36.367980
1543,120.693354,36.367997
1544,120.693343,36.368014
1545,120.693332,36.368031
1546,120.693321,36.368048
1547,120.693310,36.368065
1548,120.693299,36.368082
1549,120.693288,36.368099
1550,120.693277,36.368116
1551,120.693266,36.368133
1552,120.693255,36.368150
1553,120.693244,36.368167
1554,120.693233,36.368184
1555,120.693222,36.368201
1556,120.693212,36.368217
1557,120.693201,36.368234
1558,120.693190,36.368251
1559,120.693179,36.368268
1560,120.693168,36.368285
1561,120.693157,36.368302
1562,120.693146,36.368319
1563,120.693135,36.368336
1564,120.693124,36.368353
1565,120.693113,36.368370
1566,120.693102,36.368387
1567,120.693091,36.368404
1568,120.693081,36.368421
1569,120.693070,36.368438
1570,120.693059,36.368455
1571,120.693048,36.368472
1572,120.693037,36.368489
1573,120.693026,36.368506
1574,120.693015,36.368523
1575,120.693004,36.368540
1576,120.692993,36.368557
1577,120.692982,36.368574
1578,120.692971,36.368591
1579,120.692960,36.368608
1580,120.692950,36.368625
1581,120.692939,36.368642
1582,120.692928,36.368659
1583,120.692917,36.368676
1584,120.692906,36.368692
1585,120.692895,36.368709
1586,120.692884,36.368726
1587,120.692873,36.368743
1588,120.692862,36.368760
1589,120.692851,36.368777
1590,120.692840,36.368794
1591,120.692829,36.368811
1592,120.692819,36.368828
1593,120.692808,36.368845
1594,120.692797,36.368862
1595,120.692786,36.368879
1596,120.692775,36.368896
1597,120.692764,36.368913
1598,120.692743,36.368948
1599,120.692733,36.368965
1600,120.692723,36.368983
