Scenario,MeanHorizontalLambdaMin,MedianHorizontalLambdaMin,MeanHorizontalCondition,MeanHorizontalLogDet,MeanFullRank,MeanFullWeakSingularValue
Alternating,0.00127574440496633,0.00127574440496633,1.26586858218908,-5.68608403357635,15,1.06540877240109e-07
Fixed-B1,3.96721077882851e-05,3.96721077882851e-05,82.6411666581183,-6.88583299885597,15,4.80785241235763e-08
Fixed-B2,0.000157213588185671,0.000157213588185671,16.845832582351,-6.38052735682757,15,8.66088747210339e-08
Fixed-B3,0.000232984722391675,0.000232984722391675,9.78951410854678,-6.27458397376431,15,5.8635579582203e-08
