Scenario,MeanHorizontalLambdaMin,MedianHorizontalLambdaMin,MeanHorizontalCondition,MeanHorizontalLogDet,MeanFullRank,MeanFullWeakSingularValue
Alternating,0.000630968082721598,0.000641429097242059,2.17062744321698,-6.06509216547706,9,0.00800530284082062
Fixed-B1,7.21987734137503e-05,7.22413140509549e-05,29.7676793339815,-6.80947937920274,9,0.0012257850307644
Fixed-B2,2.52582782131067e-05,2.41530832576185e-05,78.7285584478965,-7.30883641366279,9,0.000560834662689741
Fixed-B3,2.84078532051455e-05,2.8399278134413e-05,63.4755496185875,-7.2978898237646,9,0.000381498774550742
