Scenario,MeanHorizontalLambdaMin,MedianHorizontalLambdaMin,MeanHorizontalCondition,MeanHorizontalLogDet,MeanFullRank,MeanFullWeakSingularValue
Alternating,0.000652213644216003,0.000651544600339711,1.83188359540741,-6.11417352804051,9,0.0140941392963063
Fixed-B1,0.000117062034419017,0.00011084470711672,18.6390936161665,-6.70479709543784,9,0.0154003375368684
Fixed-B2,4.94636563269332e-05,4.60716471155243e-05,42.8305722713852,-7.13748480842259,9,0.0118645373420186
Fixed-B3,0.00017101316994617,0.000177302550429679,12.6509839780307,-6.58614237139271,9,0.0122800107586791
