Scenario,MeanHorizontalLambdaMin,MedianHorizontalLambdaMin,MeanHorizontalCondition,MeanHorizontalLogDet,MeanFullRank,MeanFullWeakSingularValue
Alternating,0.000590605798179701,0.00059021593694204,2.22494873339943,-6.1108891723803,9,0.0147853244972205
Fixed-B1,0.000153067516710843,0.000150904553128356,14.3921126416839,-6.5440655172783,9,0.0155107732533053
Fixed-B2,0.00018829902925695,0.000189196542663302,9.99361350726366,-6.46946365959978,9,0.0140181212751464
Fixed-B3,7.56633130781533e-05,7.46934501639539e-05,21.4439571398772,-6.95798255718644,9,0.0143266208771699
