Scenario,MeanHorizontalLambdaMin,MedianHorizontalLambdaMin,MeanHorizontalCondition,MeanHorizontalLogDet,MeanFullRank,MeanFullWeakSingularValue
Alternating,0.000588029414510997,0.000582862769168411,2.26889038275639,-6.11070616873222,9,0.0145790645640875
Fixed-B1,0.000118339282731342,0.00011303123548776,20.3799298617445,-6.67305103826124,9,0.0128444562203089
Fixed-B2,0.000142215904196855,0.000144600803344778,14.2462986742109,-6.58287711604906,9,0.0114607288594177
Fixed-B3,5.30697277064783e-05,4.9877425652103e-05,33.2067402056154,-7.11363824925025,9,0.0115829060394957
