122233.56,36.40042006,120.68981831,15.25,0.02,0.01,0.06
122234.56,36.40042006,120.6898183,15.25,0.02,0.01,0.06
122235.56,36.40042005,120.68981831,15.25,0.02,0.01,0.06
122236.56,36.40042005,120.68981831,15.25,0.02,0.01,0.06
122237.56,36.40042004,120.68981832,15.25,0.02,0.01,0.06
122238.56,36.40042003,120.68981831,15.25,0.02,0.01,0.06
122239.56,36.40042004,120.68981833,15.25,0.02,0.01,0.06
122240.56,36.40042004,120.68981833,15.25,0.02,0.01,0.06
122241.56,36.40042004,120.68981831,15.25,0.02,0.01,0.06
122242.56,36.40042005,120.68981832,15.25,0.02,0.01,0.06
122243.56,36.40042006,120.68981832,15.25,0.02,0.01,0.06
122244.56,36.40042005,120.68981832,15.25,0.02,0.01,0.06
122245.56,36.40042005,120.68981832,15.26,0.02,0.01,0.06
122246.56,36.40042005,120.68981832,15.25,0.02,0.01,0.06
122247.56,36.40042005,120.68981834,15.25,0.02,0.01,0.06
122248.56,36.40042005,120.68981831,15.25,0.02,0.01,0.06
122249.56,36.40042005,120.68981831,15.25,0.02,0.01,0.06
122250.56,36.40042004,120.68981831,15.25,0.02,0.01,0.06
122251.56,36.40042007,120.68981832,15.24,0.02,0.01,0.06
122252.56,36.40042006,120.68981831,15.25,0.02,0.01,0.06
122253.56,36.40042005,120.6898183,15.25,0.02,0.01,0.06
122254.56,36.40042006,120.6898183,15.24,0.02,0.02,0.06
122255.56,36.40042005,120.68981831,15.24,0.02,0.02,0.06
122256.56,36.40042005,120.68981832,15.25,0.02,0.01,0.06
122257.56,36.40042006,120.68981831,15.25,0.02,0.01,0.06
122258.56,36.40042005,120.68981831,15.25,0.02,0.01,0.06
122259.56,36.40042005,120.68981832,15.26,0.02,0.01,0.06
122260.56,36.40042004,120.68981834,15.25,0.02,0.01,0.06
122261.56,36.40042003,120.68981832,15.25,0.02,0.01,0.06
122262.56,36.40042004,120.68981831,15.25,0.02,0.01,0.06
122263.56,36.40042005,120.68981832,15.25,0.02,0.01,0.06
122264.56,36.40042005,120.68981831,15.25,0.02,0.01,0.06
122265.56,36.40042004,120.6898183,15.25,0.02,0.01,0.06
122266.56,36.40042005,120.68981831,15.25,0.02,0.01,0.06
122267.56,36.40042004,120.68981831,15.25,0.02,0.01,0.06
122268.56,36.40042005,120.68981832,15.25,0.02,0.01,0.06
122269.56,36.40042004,120.68981831,15.25,0.02,0.01,0.06
122270.56,36.40042003,120.68981831,15.25,0.02,0.01,0.06
122271.56,36.40042004,120.68981832,15.25,0.02,0.01,0.06
122272.56,36.40042004,120.68981831,15.25,0.02,0.01,0.06
122273.56,36.40042005,120.68981832,15.25,0.02,0.01,0.06
122274.56,36.40042004,120.6898183,15.25,0.02,0.01,0.06
122275.56,36.40042004,120.6898183,15.25,0.02,0.01,0.06
122276.56,36.40042004,120.68981832,15.25,0.02,0.01,0.06
122277.56,36.40042002,120.68981833,15.25,0.02,0.01,0.06
122278.56,36.40042004,120.68981834,15.25,0.02,0.01,0.06
122279.56,36.40042004,120.68981832,15.25,0.02,0.01,0.06
122280.56,36.40042055,120.6898178,15.25,0.02,0.01,0.06
122281.56,36.40042491,120.68981323,15.25,0.02,0.02,0.06
122282.56,36.40043281,120.68980366,15.25,0.02,0.02,0.06
122283.56,36.40044163,120.68979121,15.25,0.02,0.02,0.06
122284.56,36.40045221,120.68977531,15.24,0.02,0.02,0.06
122285.56,36.40046492,120.68975554,15.23,0.02,0.02,0.06
