WindowID,WindowEndTime,Scenario,HorizontalLambdaMin,HorizontalCondition,HorizontalLogDet,FullRank,FullWeakSingularValue
1,117406.825,Alternating,0.000677768318101696,1.68994377397259,-6.10996521526439,9,0.0157795331047128
1,117406.825,Fixed-B1,0.000109754871845997,17.018353315191,-6.68823484610006,9,0.0155326491090541
1,117406.825,Fixed-B2,0.000101162883429921,15.6918011234608,-6.79428480119835,9,0.0127117268582154
1,117406.825,Fixed-B3,0.000307722589611454,4.44868849661948,-6.37544924427126,9,0.0127236123682763
2,117826.825,Alternating,0.000669502446606566,1.60616377722243,-6.14270583478697,9,0.0127884900199961
2,117826.825,Fixed-B1,0.000137570922400938,12.9825870898446,-6.60958545359658,9,0.0156468256251797
2,117826.825,Fixed-B2,8.23873977132292e-05,19.8909765726692,-6.86962231766427,9,0.0127682544728387
2,117826.825,Fixed-B3,0.000263594637030863,5.69558691575049,-6.40258837426758,9,0.0127939686829224
3,118246.825,Alternating,0.000713472140898522,1.56719602404867,-6.09812263823123,9,0.0129392440597428
3,118246.825,Fixed-B1,0.00018088582920185,9.31705152187835,-6.51591241010925,9,0.0152787504648239
3,118246.825,Fixed-B2,6.1951190756022e-05,27.2953812193497,-6.97981151187651,9,0.0127787525013987
3,118246.825,Fixed-B3,0.000208669095273045,7.92944109952686,-6.46184115400857,9,0.0129075883425438
4,118666.825,Alternating,0.000580229716862311,2.27742098133358,-6.11535674608845,9,0.0156893755970702
4,118666.825,Fixed-B1,0.000226704858388995,6.98339775951329,-6.44501156386065,9,0.0155637252484022
4,118666.825,Fixed-B2,3.96028124984092e-05,44.0635319873015,-7.16046862377984,9,0.012831537095115
4,118666.825,Fixed-B3,0.00014134905447302,12.868373640225,-6.58989051888559,9,0.0133156409557338
