Scenario,MeanHorizontalLambdaMin,MedianHorizontalLambdaMin,MeanHorizontalCondition,MeanHorizontalLogDet,MeanFullRank,MeanFullWeakSingularValue
Alternating,0.000660243155617273,0.000673635382354131,1.78518113914432,-6.11653760859276,9,0.0142991606953804
Fixed-B1,0.000163729120459445,0.000159228375801394,11.5753474216068,-6.56468606841664,9,0.015505487611865
Fixed-B2,7.12760710993953e-05,7.21692942346256e-05,26.7354227256953,-6.95104681362974,9,0.012772567731892
Fixed-B3,0.000230333844097096,0.000236131866151954,7.73552253803045,-6.45744232285825,9,0.0129352025873691
